smiles,mw,logp,nrot,nhacc,nhdon
CON=C(C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@H]12)c1ccco1,424.39100000000013,-0.5359999999999987,7,9,3
CON=C(C(=O)N[C@@H]1C(=O)N2C(C(=O)OC(C)OC(C)=O)=C(COC(N)=O)CS[C@H]12)c1ccco1,510.4810000000003,-0.16829999999999856,9,12,2
CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)c3ccccc3)C2SC1,347.3960000000001,0.4449000000000012,4,5,3
CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1,405.43200000000013,-0.01189999999999758,6,7,3
CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)Cc3cccs3)C2SC1,396.4460000000001,0.5923000000000007,6,7,2
CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)C3=CCC=CC3)C2SC1,349.4120000000001,0.34860000000000113,4,5,3
CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OCC=Cc2cnc3ccccc3c2)C[C@@H](C)C(=O)[C@H](C)[C@H]2NC(=O)O[C@@]21C,765.945,5.109700000000005,8,12,2
CC(=O)C1C(=O)[C@H](N)[C@@H]2Cc3c(c(O)c4c(O)c(C)ccc4c3C)C(=O)[C@]2(O)C1=O,411.4100000000002,0.6382399999999999,1,8,4
CCCCCCCCCCCCCCCC[N+](C)(C)C,284.55199999999996,6.173900000000007,15,0,0
CCCCCCCCCCCCCCCC[n+]1ccccc1,304.5419999999999,6.455400000000006,15,0,0
CCOC(=O)[C@@H]1CC(=O)O[C@H](C)C/C=C/C=C/[C@H](O)[C@H](C)C[C@H](CC=O)[C@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](OC(=O)CC)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@H]1OC,813.9790000000002,2.6249000000000065,12,16,3
